llm,benchmark,noop_F1,sigma_R2,bridge_rate,RuleOPE_pct,DR_pct,MRDR_pct,SwitchDR_pct,MRDR_vs_RuleOPE_pct,MRDR_vs_DR_pct
smollm17b,hotpot,0.23734555606019314,0.02984481292640875,0.2156731413261889,145.72559506790506,145.72559506790506,-12.980725839966434,145.72559506790506,-64.58680906399424,-158.7063209078715
smollm17b,trivia,0.3711212291565146,0.029269240869306847,0.19970304380103934,266.3301697777886,266.3301697777886,-43.79782896682472,266.3301697777886,-84.65805558213594,-310.12799874461336
smollm17b,nq,0.30746853997853996,0.05461566023501168,0.338,116.78175930665229,116.78175930665229,41.65613388399569,116.78175930665229,-34.6549569774394,-75.1256254226566
qwen3b,hotpot,0.30728705288085845,0.045866588469831396,0.27193569993302075,170.15204786281578,170.15204786281578,-0.6619114604630494,170.15204786281578,-63.22882268507504,-170.81395932327882
qwen3b,trivia,0.41307867433557377,0.035438484504790695,0.19821826280623608,228.33927715295258,228.33927715295258,-41.14964604266942,228.33927715295258,-82.07635879946343,-269.48892319562196
qwen3b,nq,0.5330143097643097,0.09840725191412904,0.5193333333333333,57.445964659244744,57.445964659244744,54.75164480440091,57.445964659244744,-1.7112663768011127,-2.694319854843833
phi3mini,hotpot,0.3901638242311383,0.050979901568475955,0.3235097119892833,275.5640704054525,275.5640704054525,-9.64915774670445,275.5640704054525,-75.94262886868962,-285.213228152157
phi3mini,trivia,0.4708549596077436,0.03569096058789539,0.2026726057906459,233.58977986781605,233.58977986781605,-36.639102877062854,233.58977986781605,-81.00634343532835,-270.2288827448789
phi3mini,nq,0.6088264965970848,0.10590390347453274,0.588,27.96728134437081,27.96728134437081,56.099730233137215,27.96728134437081,21.984095147774198,28.132448888766405
phi35,hotpot,0.4532131218859133,0.046428043528455545,0.3201607501674481,349.59931123294285,349.59931123294285,-13.223463529395696,349.59931123294285,-80.69913936642035,-362.82277476233855
phi35,trivia,0.5674783421211098,0.03444734943572709,0.22865627319970305,127.80349139753442,127.80349139753442,-29.326812208141952,127.80349139753442,-68.9762490652402,-157.13030360567637
phi35,nq,0.679191748991749,0.10405160442412383,0.6066666666666667,27.71150168064136,27.71150168064136,57.1942531561336,27.71150168064136,23.08543168587709,29.48275147549224
zephyr7b,hotpot,0.13969849217541463,0.010337593289536127,0.10917615539182854,18.37829275188716,18.37829275188716,7.67220547184897,18.37829275188716,-9.04396155000935,-10.70608728003819
zephyr7b,trivia,0.19323743563029136,0.010612369165629462,0.1091314031180401,49.936946721093875,49.936946721093875,-16.95466468629643,49.936946721093875,-44.6131609788074,-66.8916114073903
zephyr7b,nq,0.17144808350553656,0.013611791996089946,0.10666666666666667,27.898948766127617,27.898948766127617,29.99143111305227,27.898948766127617,1.636043428903311,2.092482346924651
mistral,hotpot,0.13897137309303267,0.013936865817877552,0.19156061620897522,26.960662361142983,26.960662361142983,16.22308350153552,26.960662361142983,-8.457406144482881,-10.737578859607463
mistral,trivia,0.21854755124727696,0.017211827748492725,0.19079435783221974,148.92035278303663,148.92035278303663,-32.21815526222406,148.92035278303663,-72.76966548538688,-181.1385080452607
mistral,nq,0.48086894612935943,0.0772410303131712,0.48333333333333334,78.34900659062667,78.34900659062667,51.1462605835179,78.34900659062667,-15.252535759589957,-27.20274600710877
qwen,hotpot,0.3703894873234143,0.05237956932949041,0.30475552578700604,239.53551390762223,239.53551390762223,-20.319628551279866,239.53551390762223,-76.53253689674452,-259.8551424589021
qwen,trivia,0.4644358730296831,0.031165416150397304,0.1714922048997773,123.51964977960522,123.51964977960522,-35.923448255435574,123.51964977960522,-71.33292226981153,-159.4430980350408
