bench,llm,d,n_queries,lambda_min_Sigma,lambda_max_Sigma,rank_Sigma,min_nonzero_eig_Sigma,n_constant_atoms,rank_V_beta,sigma2_tr,delta2_tr,c_hat,audit_sigma2_R,model_sigma2,noise_floor
hotpot,smollm17b,48,1493,-1.292149684693274e-15,5.900547892005651,22,0.18043829344074908,21,2,0.0005882035860248652,0.0009464383691562926,1.6090319604346712,0.02984481292640875,0.0005882035860248608,0.02925660934038389
hotpot,qwen3b,48,1493,-1.292149684693274e-15,5.900547892005651,22,0.18043829344074908,21,2,0.001823355068039797,0.0016778824548745901,0.9202170681316626,0.045866588469831396,0.0018233550680397913,0.0440432334017916
hotpot,phi3mini,48,1493,-1.292149684693274e-15,5.900547892005651,22,0.18043829344074908,21,2,0.0017295015174117266,0.0009852189861219544,0.5696548839091954,0.050979901568475955,0.001729501517411721,0.049250400051064236
hotpot,phi35,48,1493,-1.292149684693274e-15,5.900547892005651,22,0.18043829344074908,21,2,0.0019182703293585367,0.0006236430735648487,0.32510697998096694,0.046428043528455545,0.00191827032935853,0.04450977319909701
hotpot,zephyr7b,48,1493,-1.292149684693274e-15,5.900547892005651,22,0.18043829344074908,21,2,0.0002354658182640272,0.00010179880571336929,0.43232944154646924,0.010337593289536127,0.00023546581826402568,0.010102127471272102
hotpot,mistral,48,1493,-1.292149684693274e-15,5.900547892005651,22,0.18043829344074908,21,2,0.00022920489002930698,0.00020380530600615663,0.8891839348632454,0.013936865817877552,0.0002292048900293067,0.013707660927848244
hotpot,qwen,48,1493,-1.292149684693274e-15,5.900547892005651,22,0.18043829344074908,21,2,0.0020569782655850653,0.00021310926366258006,0.10360307020646399,0.05237956932949041,0.0020569782655850645,0.050322591063905346
hotpot,qwencoder7b,48,1493,-1.292149684693274e-15,5.900547892005651,22,0.18043829344074908,21,2,0.00032961137833138884,6.228293311047434e-05,0.18895868651674866,0.013812365971488138,0.0003296113783313882,0.01348275459315675
hotpot,internlm7b,48,1493,-1.292149684693274e-15,5.900547892005651,22,0.18043829344074908,21,2,0.002027650935027113,0.0009237529192149885,0.45557788239455355,0.05026032750455402,0.0020276509350271054,0.048232676569526914
hotpot,olmo7b,48,1493,-1.292149684693274e-15,5.900547892005651,22,0.18043829344074908,21,2,0.000201090879524964,1.853849633460895e-05,0.09218964270484245,0.005302698141934564,0.00020109087952496356,0.0051016072624096
hotpot,granite8b,48,1493,-1.292149684693274e-15,5.900547892005651,22,0.18043829344074908,21,2,0.0019514597141115097,0.00019623541318569584,0.10055827018445056,0.051638439394249606,0.001951459714111499,0.049686979680138105
hotpot,yi15,48,1493,-1.292149684693274e-15,5.900547892005651,22,0.18043829344074908,21,2,0.0022676078810971003,0.0003673790285033314,0.16201170915210805,0.05077145739016361,0.002267607881097089,0.04850384950906652
trivia,smollm17b,48,1347,-1.0783610853193467e-15,5.795027861829944,20,0.0057866309901967354,23,2,0.0005980386397838835,0.06483713619377235,108.41629935016056,0.029269240869306847,0.0005980386397838844,0.028671202229522963
trivia,qwen3b,48,1347,-1.0783610853193467e-15,5.795027861829944,20,0.0057866309901967354,23,1,0.0010288202974032589,0.07056186291351525,68.58521657437485,0.035438484504790695,0.0010288202974032602,0.03440966420738743
trivia,phi3mini,48,1347,-1.0783610853193467e-15,5.795027861829944,20,0.0057866309901967354,23,1,0.0013258552562433077,0.0832315727115561,62.77576101888023,0.03569096058789539,0.0013258552562433151,0.03436510533165208
trivia,phi35,48,1347,-1.0783610853193467e-15,5.795027861829944,20,0.0057866309901967354,23,1,0.0009511200341356142,0.04769228625878258,50.14328848842484,0.03444734943572709,0.0009511200341356498,0.033496229401591436
trivia,zephyr7b,48,1347,-1.0783610853193467e-15,5.795027861829944,20,0.0057866309901967354,23,2,0.00025085016709844467,7.829032509691549e-06,0.031209995194538147,0.010612369165629462,0.00025085016709844554,0.010361518998531017
trivia,mistral,48,1347,-1.0783610853193467e-15,5.795027861829944,20,0.0057866309901967354,23,2,0.0003423033384432505,0.0005218893586456609,1.5246399904223646,0.017211827748492725,0.0003423033384432484,0.016869524410049477
trivia,qwen,48,1347,-1.0783610853193467e-15,5.795027861829944,20,0.0057866309901967354,23,1,0.0014095890424643547,0.041174788708962434,29.21049147557037,0.031165416150397304,0.001409589042464321,0.029755827107932984
trivia,qwencoder7b,48,1347,-1.0783610853193467e-15,5.795027861829944,20,0.0057866309901967354,23,2,0.0006837346972751036,0.042794355425613974,62.589123524318495,0.02337433326914521,0.0006837346972750975,0.022690598571870113
trivia,internlm7b,48,1347,-1.0783610853193467e-15,5.795027861829944,20,0.0057866309901967354,23,1,0.0010536862143000233,0.05438482344325104,51.61387014954879,0.028771751292950946,0.0010536862143000227,0.027718065078650923
trivia,olmo7b,48,1347,-1.0783610853193467e-15,5.795027861829944,20,0.0057866309901967354,23,2,0.00031374018395087294,0.0005707218549012076,1.8190907129402787,0.010115961070021459,0.00031374018395088216,0.009802220886070577
trivia,granite8b,48,1347,-1.0783610853193467e-15,5.795027861829944,20,0.0057866309901967354,23,2,0.0008054928706548412,0.05947713629924728,73.83943231042403,0.03149521537573196,0.0008054928706548619,0.030689722505077097
trivia,yi15,48,1347,-1.0783610853193467e-15,5.795027861829944,20,0.0057866309901967354,23,2,0.0011994241175400273,0.05761091451667794,48.032146155970004,0.03646895209949564,0.0011994241175400564,0.03526952798195558
nq,smollm17b,48,1500,-1.5048693604090536e-15,7.414563036905654,22,0.07592030849552164,13,2,0.0033916225742923805,0.001385979939853795,0.4086480466190912,0.05461566023501168,0.003391622574292373,0.051224037660719306
nq,qwen3b,48,1500,-1.5048693604090536e-15,7.414563036905654,22,0.07592030849552164,13,2,0.006687982422951554,0.0008115862631415172,0.12134993961053897,0.09840725191412904,0.006687982422951556,0.09171926949117748
nq,phi3mini,48,1500,-1.5048693604090536e-15,7.414563036905654,22,0.07592030849552164,13,2,0.007442736225806458,0.005442404506748197,0.7312370533672224,0.10590390347453274,0.007442736225806453,0.09846116724872629
nq,phi35,48,1500,-1.5048693604090536e-15,7.414563036905654,22,0.07592030849552164,13,2,0.010993753109967225,0.0073913927098414045,0.6723266054738098,0.10405160442412383,0.010993753109967218,0.09305785131415661
nq,zephyr7b,48,1500,-1.5048693604090536e-15,7.414563036905654,22,0.07592030849552164,13,2,0.0005528547374691707,3.8864186547071904e-05,0.07029728410211755,0.013611791996089946,0.0005528547374691697,0.013058937258620777
nq,mistral,48,1500,-1.5048693604090536e-15,7.414563036905654,22,0.07592030849552164,13,2,0.005082890923347155,0.007427288327292949,1.461233073717422,0.0772410303131712,0.005082890923347151,0.07215813938982404
