bench,llm,N,mse_NonCompDR,mse_RuleOPE,ruleope_pct_vs_noncomp,ci90_lo,ci90_hi,significant
hotpot,granite8b,150,0.015828380422700634,0.004787450898727755,302.57189110619265,244.30752222260378,369.79115587107583,True
hotpot,granite8b,300,0.01297764345693829,0.003568473452955608,347.0579068654393,280.97537376358576,426.62298777873076,True
hotpot,granite8b,600,0.008816500129240158,0.0026335584658425722,269.95501065661944,222.5802153450149,323.8859165233917,True
hotpot,granite8b,1200,0.006360817473586446,0.0024385897459134084,177.09784594607078,149.58427866274687,208.73722784883012,True
hotpot,internlm7b,150,0.015489924103999853,0.0036573087404708766,397.3517959876479,328.51092237314896,478.8150348636367,True
hotpot,internlm7b,300,0.012020229924798884,0.0025558996789896964,423.5028610653752,348.0806615534126,513.2326296021082,True
hotpot,internlm7b,600,0.00738961869452109,0.0018809203162191849,322.87574765423653,267.2068311222003,390.76702084625464,True
hotpot,internlm7b,1200,0.005987672740731194,0.00141266995138999,326.5370851338727,277.75680287108304,382.6936875057532,True
hotpot,mistral,150,0.012062691049402621,0.009564190793109946,29.640874236775282,23.23281455731303,36.50944703454664,True
hotpot,mistral,300,0.012258311252269815,0.01004795317618988,23.011712554940612,17.560148639953255,29.459481712887214,True
hotpot,mistral,600,0.010095002048873236,0.009020352730424017,12.94140530724075,9.418222365434193,16.62377734881457,True
hotpot,mistral,1200,0.009972085000544991,0.009354069823451402,6.617029029349797,4.7271291748575806,8.543241347243002,True
hotpot,olmo7b,150,0.01118384638645583,0.010563690166064716,6.425403745853653,3.3625542430850475,9.918681878438429,True
hotpot,olmo7b,300,0.012507212965103902,0.011835800194443507,5.481206754195034,3.2373673079412857,7.802789600872306,True
hotpot,olmo7b,600,0.011022298524416396,0.010877096874466499,1.1820526041893098,-0.18623549604459555,2.6581285794600396,False
hotpot,olmo7b,1200,0.011353916606362181,0.011405450948669621,-0.4845892203842128,-1.6339267006787561,0.6535769313033235,False
hotpot,phi35,150,0.014557476203695163,0.003458144570364985,409.3704598770971,337.61601857556445,494.60095740104816,True
hotpot,phi35,300,0.011735621731722904,0.002955504679948734,375.8870598523825,313.72966126960904,452.2076176133331,True
hotpot,phi35,600,0.007782869643973066,0.0020937290857824375,346.10941903677326,280.1446780355307,424.0427545684099,True
hotpot,phi35,1200,0.005835865972659063,0.0017944854581181124,242.9191642460967,205.16639846248793,287.7178232750384,True
hotpot,phi3mini,150,0.015443511152641141,0.004624884989738864,305.22838268796386,251.73756469772903,367.52771505819044,True
hotpot,phi3mini,300,0.012449501894279427,0.003527848960090676,329.5599884242212,262.6690843763476,413.4691200030572,True
hotpot,phi3mini,600,0.007804213130904846,0.0021831056161901795,298.2156687098573,245.22940192411028,362.82218003972,True
hotpot,phi3mini,1200,0.006040932281531221,0.0018560086277056643,237.44506462350023,200.34577061269368,278.9992758360175,True
hotpot,qwen,150,0.015863060642575356,0.00564299565561461,255.54893091941673,203.04230643000216,319.6524235600755,True
hotpot,qwen,300,0.012862414290222491,0.004244279257917278,256.60709046521754,215.93112339769482,307.404978204696,True
hotpot,qwen,600,0.008968362097235625,0.003217623918911492,218.702056036824,175.32764401172162,271.84226273057976,True
hotpot,qwen,1200,0.007044926022013913,0.002737916790873983,173.52207937482885,145.5903298540776,203.9297324792687,True
hotpot,qwen3b,150,0.017403948228554032,0.007559494790287197,187.25689590104128,143.0840809655683,241.4115981132169,True
hotpot,qwen3b,300,0.013948126997807174,0.006582579512583357,156.07509078526908,119.40920945952386,200.39890306648002,True
hotpot,qwen3b,600,0.009525658871482587,0.003953001714384465,171.4421731315608,136.2348015121946,213.08585274464272,True
hotpot,qwen3b,1200,0.007711857913369876,0.004300176402822566,78.58448258909993,66.66789716471766,91.74897167423326,True
hotpot,qwencoder7b,150,0.016810773927605122,0.014841412168136604,14.764471724840345,9.580314058885598,20.4019734949348,True
hotpot,qwencoder7b,300,0.017337956413101988,0.015552574567843766,11.784592166404995,8.885108178658662,14.667930640809445,True
hotpot,qwencoder7b,600,0.016065149387314123,0.015315863032369799,4.956523864594842,2.935182208965026,6.954575858689505,True
hotpot,qwencoder7b,1200,0.016501705088847008,0.015819267002386454,4.3181752083676805,2.618558467460419,6.110061364006336,True
hotpot,smollm17b,150,0.014984855247367718,0.007552749642660178,141.91579303515408,106.50320049538715,184.30122349259702,True
hotpot,smollm17b,300,0.01041430655843524,0.00409285813896017,241.506717457691,184.4416289083235,309.992395279654,True
hotpot,smollm17b,600,0.007232409895191415,0.0030382258588816957,197.10860259696653,155.7068940738635,248.90921321483285,True
hotpot,smollm17b,1200,0.005834649877508685,0.0028106952870052323,112.80961740494485,100.85682680816568,125.84813730207358,True
hotpot,yi15,150,0.01487806517744488,0.004966457367590284,271.1810358068403,216.9759580899437,334.5619328124239,True
hotpot,yi15,300,0.012591813919924828,0.0031776043483603173,359.0096958551298,289.53231972634677,442.0996735522092,True
hotpot,yi15,600,0.0076205855776813715,0.0020569644613134762,335.0334114685155,276.40979459746455,402.55302558924103,True
hotpot,yi15,1200,0.006029150052425935,0.0015707733746585736,302.8305721718223,257.86656445899246,355.7930336009208,True
hotpot,zephyr7b,150,0.01046930175876778,0.008772110352066256,21.576444219296896,15.691792355326072,27.942689910648856,True
hotpot,zephyr7b,300,0.010978387490783368,0.010010289541303079,9.95223592575778,6.979185953663047,13.163419970647228,True
hotpot,zephyr7b,600,0.0095670185064586,0.008662274173282893,10.514707885438934,8.038584172793307,13.282566449729782,True
hotpot,zephyr7b,1200,0.009587459053534723,0.009175022571135606,4.460585746174051,2.9131546621183446,6.059467725971945,True
nq,granite8b,150,0.021439411176350166,0.01896876647992919,15.976645442350513,5.507063610484386,27.811693171485373,True
nq,granite8b,300,0.01939295958146597,0.016407032116949227,17.410524004014015,6.756753636654977,29.270330172147617,True
