bench,llm,p_spread,sigma_R2,mse_RuleOPE_150,mse_MRDR_150,mse_DR_150,mse_RuleOPE_1200,mse_MRDR_1200,mse_DR_1200,mrdr_gap_pct_1200,truth_1200
hotpot,smollm17b,0.4,0.0519357383135133,0.006244174078276775,0.015182149177324987,0.006244174078276775,0.002083685214235599,0.0051336084520222655,0.002083685214235599,-59.410904947088824,RuleOPE
hotpot,smollm17b,0.6,0.06382400073791503,0.004941389047672967,0.014934196759692963,0.004941389047672967,0.0021000761700938762,0.004571286038282882,0.0021000761700938762,-54.0594013915014,RuleOPE
hotpot,smollm17b,0.8,0.07475103611887703,0.003820738646495734,0.01488453868743823,0.003820738646495734,0.0018296399444689482,0.005790466329605363,0.0018296399444689482,-68.40254583444502,RuleOPE
hotpot,smollm17b,1.0,0.08498706387946645,0.004014705951091178,0.015087950605086354,0.004014705951091178,0.0015931875988744626,0.005486254292295473,0.0015931875988744626,-70.96037635164254,RuleOPE
hotpot,phi35,0.4,0.06620402088150402,0.00354441590391667,0.014535001864879547,0.00354441590391667,0.0017009820394624814,0.004410205213372807,0.0017009820394624814,-61.43077346367708,RuleOPE
hotpot,phi35,0.6,0.07776422835761111,0.003388410544027239,0.014647560200018766,0.003388410544027239,0.0013870485349091809,0.004669303551042435,0.0013870485349091809,-70.29431649181348,RuleOPE
hotpot,phi35,0.8,0.0872966643264365,0.002310233479656603,0.013431786387421539,0.002310233479656603,0.0007732300070107186,0.0043133086467828236,0.0007732300070107186,-82.07339028271373,RuleOPE
hotpot,phi35,1.0,0.09769469805993225,0.0033284971333122832,0.016143382929624552,0.0033284971333122832,0.0006506307632557127,0.004694870673824639,0.0006506307632557127,-86.14166803607219,RuleOPE
hotpot,zephyr7b,0.4,0.04170706851758252,0.007126135488638565,0.009779048400622038,0.007126135488638565,0.006972505669542755,0.0061020996112922206,0.006972505669542755,14.264042111666075,MRDR
hotpot,zephyr7b,0.6,0.05890081742124974,0.0067158455385042245,0.011532012062004826,0.0067158455385042245,0.00637842221201309,0.005906016644011804,0.00637842221201309,7.998717180728998,MRDR
hotpot,zephyr7b,0.8,0.07310556437864744,0.0051768444933005435,0.012456348423757316,0.0051768444933005435,0.0048730528560085975,0.007004055136195387,0.0048730528560085975,-30.425264204078683,RuleOPE
hotpot,zephyr7b,1.0,0.08756005283531394,0.00656481185345442,0.015476881029312184,0.00656481185345442,0.003677796756793301,0.006287336077993226,0.003677796756793301,-41.50468956691798,RuleOPE
